PredictionString,image_id
0 0.14010915 482.28604 589.26294 558.2654 657.66223 0 0.09023938 329.9914 623.26074 430.77692 729.3668 0 0.077550225 325.74976 642.8754 365.5161 686.45197 0 0.07601126 332.49173 640.3397 394.70383 723.0337 0 0.06949888 342.80914 680.609 397.5882 728.5729 0 0.06768575 500.8886 600.5685 582.68463 647.6262 0 0.058365505 323.6336 640.8736 347.63177 685.6352 0 0.05097549 648.6515 185.12918 694.1256 236.0487 1 0.9952669 561.3233 105.64404 756.0181 357.0853 1 0.48041093 634.59406 153.28159 766.4261 344.20764 1 0.3378564 638.60724 248.93016 735.73846 348.05298 1 0.18497902 242.98248 404.22784 287.11786 470.96124 1 0.165743 546.07166 132.5094 889.97205 606.07904 1 0.15088898 428.32697 444.26135 565.3501 603.7388 1 0.14872193 499.23596 117.47688 590.6648 226.35863 1 0.13095847 713.26746 113.91283 880.6897 583.77765 1 0.10495459 643.0579 186.07451 726.98627 297.23816 1 0.10392149 645.9052 187.25117 693.4163 236.47679 1 0.10003472 479.7948 587.93353 559.5342 659.47394 1 0.08561412 424.06802 418.79797 587.2145 706.02515 1 0.07652164 493.5853 96.902214 693.8303 214.5773 1 0.07440988 500.8886 600.5685 582.68463 647.6262 2 0.17353946 327.33557 641.47095 362.52863 682.8771 3 0.06398421 325.01212 551.42523 461.00772 732.24896 5 0.9440796 244.23366 683.4764 300.17365 748.8267 5 0.46763095 414.3654 612.0282 450.3146 686.4906 5 0.3569421 330.45294 674.3654 465.76147 739.8476 5 0.2588764 331.11783 616.15826 457.90854 730.1409 5 0.21802688 425.32544 448.52966 564.97675 707.09326 5 0.19863258 490.6285 578.7955 558.7736 648.73456 5 0.18417811 464.99435 571.4337 567.98596 676.8662 5 0.18308108 403.13422 626.7946 456.59137 697.70465 5 0.17514281 342.34778 678.7951 432.90424 726.23236 5 0.15402588 335.45718 636.8318 397.6412 725.8793 5 0.15243731 380.692 574.8557 462.14377 728.5332 5 0.13632843 388.44623 617.4835 449.33844 717.2202 5 0.11567545 379.00012 558.4419 441.08093 611.0012 5 0.10025009 420.58124 608.8821 464.99725 721.04236 5 0.096764 362.08984 660.81555 448.5974 722.37085 5 0.08918886 331.8313 524.5062 483.24402 740.1212 5 0.08480494 507.50534 597.803 588.9869 648.1654 5 0.079670236 374.07883 559.3816 444.53458 682.0952 5 0.07809174 383.08463 673.1091 466.8751 726.6341 5 0.063534714 327.88412 640.00604 387.75455 693.0328 5 0.05364432 469.73398 556.8295 563.36035 606.42316 7 0.99993205 217.75076 56.971466 459.16263 476.0356 7 0.99989617 603.40533 517.11743 951.49603 1024.0 7 0.99972755 121.80613 424.5855 331.3755 708.1142 7 0.99960536 387.3633 190.32054 600.3043 542.78687 7 0.98490113 451.72223 588.5343 637.925 875.8983 7 0.98022836 267.45374 436.89795 431.79016 589.6135 7 0.95893073 588.1935 331.10513 877.422 623.45996 7 0.8475187 556.08496 339.50256 708.7533 608.13025 7 0.2968606 537.13196 186.14786 572.3782 235.18344 7 0.18089168 422.94788 206.26907 652.60583 881.6113 7 0.14068244 326.587 553.8411 452.9802 729.38983 7 0.12741096 400.56787 206.09705 731.17834 602.84467 7 0.06372727 332.50473 553.00226 440.42783 621.7631 7 0.058178768 547.03784 264.69812 786.8729 605.55426 ,test/0000.jpg
0 0.115142666 633.38184 646.19604 687.0835 823.7069 3 0.19080007 345.7082 244.76485 751.1774 696.5163 4 0.47532818 344.14313 246.07928 752.2132 695.9398 5 0.8395355 345.87152 245.95369 752.9274 696.5331 5 0.07746728 125.46817 0.0 494.39066 291.47546 6 0.6595267 762.24054 658.98566 900.7933 981.71515 7 0.9871373 126.25113 0.0 494.48337 291.60602 ,test/0001.jpg
0 0.85750353 882.7563 465.57938 1021.6473 628.5121 0 0.3409932 789.5833 405.80957 1020.5494 1024.0 0 0.22662725 71.8965 292.25342 437.41486 457.42792 0 0.17736767 825.64874 445.34528 1021.2259 793.95074 0 0.14623879 454.2407 512.8059 808.4374 682.31616 0 0.13185552 275.1094 283.427 307.48477 419.36597 0 0.12036625 974.2599 229.78297 1023.4758 247.12239 0 0.1127026 133.18025 286.3012 413.62732 400.91113 0 0.101403534 771.2031 532.8997 809.4905 576.87604 0 0.09225321 320.48657 331.40875 1010.4198 380.56378 0 0.07958587 281.10382 331.88626 998.3808 734.74133 0 0.06463481 868.6496 247.10672 912.15765 322.32608 0 0.05089269 83.81374 314.2188 304.81494 402.8352 1 0.9709681 281.86072 324.2218 1004.01086 744.95105 1 0.9656532 81.454895 288.97128 417.69113 598.7361 1 0.95492476 783.31537 408.08554 1020.69244 1024.0 1 0.87598395 425.1377 267.12518 640.96985 323.43695 1 0.87534994 666.1131 228.26723 863.1136 326.72296 1 0.7300685 655.5277 227.88235 1024.0 336.1796 1 0.70844936 71.12541 278.5494 432.7807 433.60043 1 0.259403 866.7005 231.04944 1021.45026 370.3581 1 0.24653086 993.6432 301.94086 1023.74475 386.7364 1 0.24330807 295.0805 317.44397 1008.6512 409.03772 1 0.21273124 111.43895 443.58652 250.82402 600.22766 1 0.20748764 955.54 232.28659 1023.40704 374.06564 1 0.16485406 257.25055 235.72412 1019.7946 440.1341 1 0.1598956 868.6026 242.987 913.91 322.53522 1 0.14158343 352.86865 320.59567 993.8739 366.85397 1 0.11637547 974.2599 229.78297 1023.4758 247.12239 1 0.099374406 97.40244 369.5586 320.6738 598.6711 1 0.09185344 990.5489 329.1854 1022.2077 416.6686 1 0.08834724 977.75836 323.92273 1020.35895 384.00708 1 0.084103055 988.4487 237.22012 1023.6609 374.84177 1 0.08241158 975.30365 233.83743 1023.3107 311.0425 1 0.082330026 830.0979 231.86984 1024.0 472.72458 1 0.06885455 2.2198105 294.4704 166.3468 463.12543 1 0.051791277 664.7435 224.98836 1024.0 522.2244 6 0.2238818 284.83685 321.41898 1006.7414 370.81888 6 0.13101731 298.0053 318.83084 1013.8654 428.56058 6 0.07608076 279.1432 340.43124 1024.0 550.5374 ,test/0002.jpg
0 0.09590938 80.02753 524.92084 1024.0 1024.0 9 0.99977297 143.63074 258.68158 921.3124 824.4035 9 0.3572209 57.444153 633.33826 1024.0 1024.0 9 0.12075261 1.0666656 13.06015 420.86 1008.1549 ,test/0003.jpg
0 0.52320457 195.78421 268.5073 876.85095 778.3251 0 0.093663566 425.58972 509.3645 475.56494 572.5139 1 0.7580474 196.19534 270.23865 874.9015 778.437 1 0.30623075 422.5544 386.3879 702.9236 562.5344 1 0.24169208 469.92966 409.38953 658.495 530.7629 5 0.16464981 470.27478 409.53543 658.5322 530.39886 7 0.2651502 469.92538 409.09293 658.3761 531.3645 ,test/0004.jpg
2 0.9997702 357.09442 234.13025 778.78827 710.3516 ,test/0005.jpg
0 0.9888488 896.97864 787.4823 1023.0333 915.92554 0 0.4993512 600.30707 0.0 703.78876 83.70856 0 0.24340138 91.925156 733.7862 135.3379 857.43243 0 0.2052006 0.0 809.9547 90.71782 940.46313 0 0.15436868 299.15546 395.59387 428.22748 748.07263 0 0.07124484 85.39296 721.7878 252.6345 955.5125 0 0.060426205 715.265 895.5786 810.2042 937.3994 3 0.39187956 0.0 60.376984 70.143295 220.1781 4 0.9903251 426.54065 2.561264 697.3657 263.0113 5 0.9987336 352.43927 451.72546 836.1921 723.70435 5 0.8043556 0.0 61.370865 71.26557 219.88994 5 0.0970385 0.0 809.9547 90.71782 940.46313 5 0.07163929 71.000565 359.2147 222.37364 744.0071 5 0.06451561 208.22192 555.29156 277.5188 710.0568 5 0.058316942 192.9792 621.4501 310.9748 870.3086 6 0.062851116 0.0 809.99054 90.69888 940.47064 7 0.9811323 193.95938 650.5446 316.47818 869.5983 7 0.74903333 268.54968 14.532837 418.07574 168.24602 9 0.28469008 71.000565 359.2147 222.37364 744.0071 ,test/0006.jpg
0 0.6048902 409.97122 0.0 1024.0 373.47305 0 0.5616734 348.59634 58.17868 998.15576 741.188 0 0.5299098 0.0 569.2108 652.1948 1024.0 0 0.3247083 777.08307 85.523994 841.16205 174.53604 0 0.16933908 60.88861 121.73636 980.4046 937.42334 1 0.7164714 881.9164 889.1771 1015.7152 1023.07654 1 0.7134625 189.55931 883.02136 608.7855 1019.13965 1 0.6742103 76.063995 106.24899 984.08887 902.152 1 0.3193984 704.5119 108.40795 791.3951 157.37875 1 0.11836171 291.1579 521.50323 435.65765 675.1149 1 0.083856486 440.39417 892.2651 614.386 1023.1203 1 0.05025298 182.91225 731.99713 538.1547 1024.0 5 0.16343902 0.0 868.71655 24.80405 1024.0 7 0.26825687 0.0 876.87225 24.275682 1024.0 9 0.89881074 341.09073 99.95737 991.1636 746.4719 9 0.26338616 431.98547 487.95944 901.037 743.63806 ,test/0007.jpg
0 0.9311135 106.1721 903.49286 171.41983 972.5894 1 0.84923726 649.2633 649.4101 720.21265 762.6695 1 0.07055306 354.98483 0.0 417.29794 82.72853 1 0.05191908 108.246796 903.08344 171.61041 972.4255 2 0.2667829 359.13943 496.60687 446.23923 588.27203 5 0.22633684 769.0981 279.79565 977.01337 614.5532 5 0.14628887 563.38837 431.1471 715.195 607.6239 6 0.9344038 769.18695 279.75287 977.0203 614.8574 6 0.06604724 711.0427 509.73682 815.34814 617.1019 7 0.9998091 161.80688 503.4226 458.56372 963.0674 7 0.99959415 376.17828 455.5081 689.0467 878.32104 7 0.9988575 4.7092896 621.521 180.67159 876.00195 7 0.9979103 5.019577 356.34717 276.3836 635.3747 7 0.95953816 687.7313 525.08093 792.21814 702.4872 7 0.9575382 354.03647 496.60187 464.2947 696.41364 7 0.74828494 555.4007 429.71365 718.189 618.2136 7 0.6219064 360.2437 496.0496 453.2666 597.9519 7 0.36364678 714.9613 508.77045 813.8142 619.5721 7 0.33959562 228.7539 490.96814 331.2243 555.32874 7 0.30977473 0.5028362 524.2587 49.23288 690.01263 7 0.15300451 641.239 507.0707 711.2461 614.2232 7 0.13198814 29.160065 487.73462 322.454 639.2379 7 0.11415664 506.59323 444.4365 818.37305 617.85364 7 0.113446936 389.91754 595.8895 455.64496 697.0062 7 0.095972344 630.20996 474.54898 793.9542 714.76636 7 0.08331813 2.6677551 469.19592 276.4474 746.99756 7 0.0766899 345.53342 121.51779 419.66 224.6564 7 0.07435406 154.57921 557.8209 200.75688 644.9125 7 0.068041995 0.16271973 525.4115 181.87073 688.57886 7 0.06744864 150.94911 528.53314 238.70863 644.05743 7 0.061347682 132.15259 491.83246 310.7035 615.6978 ,test/0008.jpg
0 0.999879 273.6328 123.526794 662.325 976.07245 ,test/0009.jpg
